providedName,finalName,geo_informed
Chelostoma australis,Ashmeadiella australis,FALSE
Chelostoma neomexicanum,Ashmeadiella neomexicana,FALSE
Cilissa albihirta,Andrena frigida,FALSE
Cilissa erythrogaster,Andrena erythrogaster,FALSE
Cilissa nigrihirta,Andrena nigrihirta,FALSE
Cilissa trizonata,Andrena trizonata,FALSE
Coelioxys asteris,Coelioxys mexicanus,FALSE
Coelioxys atlantica,Coelioxys octodentatus,FALSE
Coelioxys cockerelli,Coelioxys alternatus,FALSE
Coelioxys coloradensis,Coelioxys rufitarsis,FALSE
Coelioxys comstockii,Coelioxys rufitarsis,FALSE
Coelioxys coquilletti,Coelioxys octodentatus,FALSE
Coelioxys deplanata,Coelioxys edita,FALSE
Coelioxys lateralis,Coelioxys funerarius,FALSE
Coelioxys lucrosa,Coelioxys funerarius,FALSE
Coelioxys ribis,Coelioxys sodalis,FALSE
Coelioxys sculptifrons,Coelioxys immaculatus,FALSE
Colletes arenicola,Colletes hyalinus,FALSE
Colletes armatus,Colletes simulans,FALSE
Colletes brevispinosus,Colletes simulans,FALSE
Colletes carolinus,Colletes distinctus,FALSE
Colletes crucis,Colletes annae,FALSE
Colletes ilicis,Colletes banksi,FALSE
Colletes mitchelli,Colletes speculiferus,FALSE
Colletes opuntiae,Colletes brevicornis,FALSE
Colletes oromontis,Colletes paniscus,FALSE
Colletes pascoensis,Colletes consors,FALSE
Colletes propinqua,Colletes inaequalis,FALSE
Colletes spurcus,Colletes hyalinus,FALSE
Colletes zonatus,Colletes consors,FALSE
Crocisa lata,Ericrocis lata,FALSE
Diadasiella coquilletti,Anthophorula albicans,FALSE
Dialictus apocyni,Lasioglossum apocyni,FALSE
Dialictus delectatus,Lasioglossum cressonii,FALSE
Dialictus heterognathus,Lasioglossum heterognathus,FALSE
Dialictus hudsoniellus,Lasioglossum hudsoniellum,FALSE
Dialictus hunteri,Lasioglossum hunteri,FALSE
Dialictus lectus,Lasioglossum lectum,FALSE
Dialictus occidentalis,Lasioglossum occidentale,FALSE
Dialictus perpunctatulus,Lasioglossum subversans,FALSE
Dialictus perspicuus,Lasioglossum admirandum,FALSE
Dialictus solidaginis,Lasioglossum laevissimum,FALSE
Dialictus supraclypeatus,Lasioglossum foveolatum,FALSE
Dialictus tamiamensis,Lasioglossum tamiamense,FALSE
Dialictus theodori,Lasioglossum occidentale,FALSE
Diandrena ablegata,Andrena ablegata,FALSE
Diandrena puthua,Andrena puthua,FALSE
Diandrena sperryi,Andrena sperryi,FALSE
Dianthidium provancheri,Dianthidium pudicum,FALSE
Dioxys fulvohirta,Dioxys aurifuscus,FALSE
Dioxys martii,Dioxys productus,FALSE
Dolichochile melittoides,Melitta melittoides,FALSE
Emphoropsis interspersa,Habropoda tristissima,FALSE
Emphoropsis rugosissima,Habropoda tristissima,FALSE
Emphoropsis semifulva,Habropoda semifulva,FALSE
Epeolus agnatus,Epeolus lectus,FALSE
Epeolus argyreus,Triepeolus argyreus,FALSE
Epeolus bardus,Triepeolus distinctus,FALSE
Epeolus beulahensis,Epeolus minimus,FALSE
Epeolus bihamatus,Triepeolus bihamatus,FALSE
Epeolus californicus,Triepeolus californicus,FALSE
Epeolus concavus,Triepeolus concavus,FALSE
Epeolus crucis,Epeolus compactus,FALSE
Epeolus distinctus,Triepeolus distinctus,FALSE
Epeolus eldoradensis,Triepeolus eldoradensis,FALSE
Epeolus hitei,Epeolus compactus,FALSE
Epeolus humillimus,Epeolus olympiellus,FALSE
Epeolus lanhami,Epeolus americanus,FALSE
Epeolus lectiformis,Triepeolus lectiformis,FALSE
Epeolus lutzi,Epeolus minimus,FALSE
Epeolus nevadensis,Triepeolus nevadensis,FALSE
Epeolus oswegoensis,Triepeolus pectoralis,FALSE
Epeolus robustus,Triepeolus robustus,FALSE
Epeolus sarothrinus,Triepeolus sarothrinus,FALSE
Epeolus scelestus,Triepeolus scelestus,FALSE
Epeolus semilectus,Epeolus lectoides,FALSE
Epeolus tristicolor,Epeolus olympiellus,FALSE
Epeolus verbesinae,Triepeolus verbesinae,FALSE
Epeolus vernalis,Epeolus ilicis,FALSE
Epeolus virginiensis,Triepeolus pectoralis,FALSE
Ericrocis arizonensis,Ericrocis lata,FALSE
Ericrocis melectoides,Ericrocis lata,FALSE
Eucera albata,Tetraloniella albata,FALSE
Eucera amoena,Protohalonia amoena,FALSE
Eucera pruinosa,Peponapis pruinosa,FALSE
Evylaeus divergenoides,Lasioglossum versans,FALSE
Evylaeus pineolensis,Lasioglossum nigroviride,FALSE
Exomalopsis cerei,Anthophorula cerei,FALSE
Exomalopsis compactula,Anthophorula completa,FALSE
Exomalopsis consobrina,Anthophorula consobrina,FALSE
Exomalopsis cornigera,Anthophorula cornigera,FALSE
Exomalopsis eriocarpi,Tetraloniella eriocarpi,FALSE
Exomalopsis euphorbiae,Anthophorula euphorbiae,FALSE
Exomalopsis frederici,Exomalopsis mellipes,FALSE
Exomalopsis grandior,Exomalopsis snowi,FALSE
