scientificName,phylo_rich,phylo_simp,eigen1_plantGenus,eigen2_plantGenus,eigen1_plantFam,eigen2_plantFam,rich_genus,simpson_genus,rich_fam,simpson_fam,n_globi
Coelioxys dolichos,1087.693768,426.179975546,0.0984627897901454,0.0997289728178473,-0.436614121543797,-0.00616949100270039,16,2.38627889634601,6,1.29975629569456,80
Coelioxys funerarius,736.530575,471.874525542729,0.429009126054644,0.0140744535093251,-0.34459183971055,0.149069400976614,7,7,3,1.81481481481481,7
Coelioxys galactiae,390.70254,390.70254,0.0409875299714924,0.100175159268557,-0.435311785254588,-0.0167503333972515,1,1,1,1,2
Coelioxys germanus,2084.021482,525.677533745673,0.159553506624095,0.0358396043032186,-0.172267856816031,0.345727588960476,30,21.7777777777778,12,4.80981595092025,56
Coelioxys hunteri,751.877987,473.210082973746,0.0448296053222159,-0.000560418449627762,-0.00813496792526604,0.486325867999265,9,2.90822179732314,3,2.03070761014686,39
Coelioxys mesae,390.70254,390.70254,-0.0339727276319532,0.015191502429427,0.438725461086079,0.445260029056259,1,1,1,1,2
Coelioxys mexicanus,738.171383,507.359281821058,0.000691426280575015,0.0505047119510801,-0.176570095206308,-0.0857923649919458,4,4,4,4,4
Coelioxys modestus,2495.252326,524.216882219254,0.223793589377075,-0.0154882541156675,-0.211339160970799,0.263000391824353,37,22.5640326975477,18,5.97906137184115,91
Coelioxys moestus,1417.937976,503.579462124808,0.280069986094631,-0.0800919854189995,-0.398501522016303,0.0128766895022522,18,12.2359550561798,10,3.59405940594059,33
Coelioxys obtusiventris,390.70254,390.70254,0.0284293280005758,0.0067834342316169,0.21094260736728,-0.19777207581495,1,1,1,1,1
Coelioxys octodentatus,1820.986513,447.472151297949,0.0335371202876443,0.0154147744724532,0.0616948599727518,-0.0991487968512818,27,1.93048128342246,13,1.84235894527927,228
Coelioxys rufitarsis,2739.343085,506.106354473964,0.3920783962214,0.0234581928000666,-0.33874771921432,0.13895823474566,52,26.1180124223602,17,3.39825440439631,145
Coelioxys sayi,4957.59093160001,508.591142724173,0.164925614192211,-0.00190006494680752,-0.320178881495049,0.167131361993887,91,16.392746966477,33,3.73037862123836,489
Coelioxys slossoni,779.535105,463.655090157976,0.046979772088735,0.0540628449546161,-0.406405017993457,-0.016485822841209,10,5.13903743315508,4,2.14031180400891,31
Coelioxys sodalis,1137.241334,502.572595128697,-0.0785409420735474,0.0236566826586171,-0.204353068169711,0.06908284545524,15,11.5238095238095,7,3.78125,22
Coelioxys texanus,1554.3877130003,455.996365686527,0.0235019327032203,-0.0105197366874128,0.260452507842999,0.483088925680195,22,2.00113237458951,10,1.67459490192362,188
Colletes aberrans,577.950573,399.742684016071,-0.0576264945357134,0.0460378839264444,0.409540812127343,0.451207080439836,3,1.1037426132633,2,1.04996876951905,41
Colletes aestivalis,1175.1378095,497.223044739023,-0.0259529474520533,-0.0214431067068362,0.228879507766603,-0.225228972691171,10,3.6,8,3.375,18
