scientificName,phylo_rich,phylo_simp,eigen1_plantGenus,eigen2_plantGenus,eigen1_plantFam,eigen2_plantFam,rich_genus,simpson_genus,rich_fam,simpson_fam,n_globi
Perdita tortifoliae,1066.2056929997,424.8752606918712,-0.0718144194799195,0.039572856033973106,0.14583987044083932,-0.2646090654897022,12,1.541796026984757,7,1.3737027100101913,257
Perdita triangulifera,507.5134340000001,399.06415791052945,-0.1261691638645105,0.06779026713656332,0.44097557492395223,0.4486199833221231,2,1.0753643796658372,2,1.0753643796658372,55
Perdita trisignata,494.452981,436.94798937489855,-0.062162966611995864,0.01996910611826385,0.4387254610860786,0.4452600290562587,3,2.061855670103093,1,1,20
Perdita verbesinae,593.148372,415.81667162261044,0.2792871253583306,0.26365235020140404,-0.4368470194094028,-0.012202469984875843,6,1.8072289156626509,2,1.1421319796954315,30
Perdita vestita,793.9888779999999,416.97841760859836,0.0017720116277391885,0.15606478778532465,-0.4352629353022733,-0.016128639175147518,9,3.2052348472245327,5,1.2332771459662448,340
Perdita wilmattae,678.5344539999999,419.60978588632776,-0.0591670200806992,0.03513535126807662,0.17122870748353017,-0.2674957741472318,4,1.4029197080291966,4,1.4029197080291969,31
Perdita xanthochroa,792.93637,400.2377383561186,-0.26330928317558905,0.16825842285264206,0.23872921701531485,-0.279245796623249,6,1.09125811574102,5,1.0910826617360372,233
Perdita xerophila,727.5665590003,435.4931667169139,-0.04907868478254211,0.11148395972337911,0.1395951739743146,-0.246577255069416,4,1.5124512451245122,4,1.5124512451245122,71
Perdita yosemitensis,390.70253999999994,390.70253999999983,-0.044698011652887,0.10442894746360136,0.21208335997747088,-0.25278047879878174,1,1,1,1,1
Perdita zebrata,1407.8978989996997,427.7061538149932,-0.027281782517422817,0.04201801879396082,0.15037637799191703,-0.13182832589508842,24,1.4932385701412785,9,1.4351770613038073,1951
Plebeia emerina,2330.2328580000003,536.7342476632664,-0.051363415174044434,0.020566390219038548,0.15400815402588677,-0.16812835694192016,24,6.669444444444445,18,5.4198645598194135,98
Protandrena abdominalis,822.352015,414.8182308280656,0.012687070089571149,0.018874706187376335,0.17826171739539406,-0.08584434849576932,7,1.289285669598729,4,1.2427305071458723,321
Protandrena bancrofti,1090.3723560000005,498.75847079913524,0.009627177835214034,-0.005192036146790637,0.33353667300876144,0.46669273385518323,10,5.539267015706806,6,2.5311004784688986,46
Protandrena cockerelli,630.222342,437.04178244850647,0.05093728491156882,-0.004965535284308945,0.2858527045460999,0.017267336323398535,3,1.5049718979680071,3,1.5049718979680071,59
Protandrena mexicanorum,1356.4669909999998,501.5640627587255,0.003577246703211373,0.038302779261710586,-0.010992484698011335,-0.01244415008163555,14,4.103189493433396,9,3.893768545994065,162
Protandrena sphaeralceae,483.65567599999997,443.4542629582281,-0.23479791832066063,0.15367539252629936,0.25487753273479236,-0.27535879503443916,2,2,2,2,2
Protandrena tidestromiae,390.70254,390.70254000000006,-0.04117679955296507,0.023268083825258804,0.22449115787592708,-0.2243514940953565,1,1,1,1,1
Protandrena verbesinae,553.4716279999998,406.6567549889017,-0.025122633049883082,0.10042618925202168,-0.43350629414001546,-0.01899355991865899,5,1.8028169014084507,2,1.0644490644490645,32
Protodufourea eickworti,633.0153809999999,450.4986735987169,-0.3596519175580854,0.12547591913289433,0.3542066405377523,-0.28795713499727177,3,1.7253731343283578,3,1.7253731343283578,34
Protosmia rubifloris,3524.1025490002994,531.6864301864588,-0.1535376486281558,-0.1555269580831485,0.26978015678263667,0.027071272185679944,44,11.981619256017503,25,8.86880466472303,234
Protoxaea gloriosa,1878.504314,471.30685951686934,0.021398233162793674,-0.01482262565139885,0.4011583961206508,0.44313037385508497,23,2.4890365093974687,12,2.2608057187859694,1366
Pseudaugochlora graminea,783.6035620000002,485.75450501170155,-0.03622630478561756,0.02502448142450727,0.4428974748499807,0.45483855764395204,7,3.4380952380952396,5,2.888000000000001,19
Pseudopanurgus aethiops,571.26632,407.0845558753834,0.2821782230016531,0.26523729544438956,-0.4351078753052467,-0.015749891114983126,5,1.7742616033755272,2,1.0350769230769232,58
